entry_date,exit_date,side,contracts,short_strike,long_strike,entry_credit,exit_debit,max_loss_dollars,net_pnl,return_on_risk_pct
2024-11-01,2024-11-04,bull_put,21,550.0,522.0,4.8079,5.0556,48703.42,-562.12,-1.15
2024-11-04,2024-11-06,bull_put,21,549.0,521.0,4.8504,1.0296,48614.26,7981.61,16.42
2024-11-13,2024-11-15,bull_put,21,575.0,546.0,4.9642,8.2285,50475.23,-6896.99,-13.66
2024-11-15,2024-11-18,bull_put,20,564.0,535.0,4.9001,4.2152,48199.89,1329.64,2.76
2024-11-18,2024-11-26,bull_put,21,566.0,537.0,4.8316,1.1302,50753.74,7730.93,15.23
2024-12-09,2024-12-10,bull_put,21,582.0,552.0,5.0006,5.4128,52498.83,-907.61,-1.73
2024-12-10,2024-12-17,bull_put,21,580.0,551.0,4.8914,3.2974,50628.08,3305.46,6.53
2024-12-20,2024-12-23,bull_put,22,571.0,542.0,4.9135,3.9676,52990.26,2036.91,3.84
2025-01-27,2025-02-03,bull_put,21,579.0,549.0,5.0262,4.1882,52444.92,1717.76,3.28
2025-02-03,2025-02-07,bull_put,22,577.0,548.0,4.8489,3.2288,53132.51,3520.13,6.63
2025-02-21,2025-02-24,bull_put,22,580.0,550.0,5.1514,5.8277,54666.91,-1531.89,-2.8
2025-07-15,2025-07-24,bull_put,21,605.0,574.0,5.3446,1.1332,53876.38,8801.89,16.34
2025-07-30,2025-07-31,bull_put,21,617.0,585.0,5.4744,6.0453,55703.71,-1240.77,-2.23
2025-07-31,2025-08-01,bull_put,22,614.0,583.0,5.2275,8.2847,56699.39,-6769.77,-11.94
2025-08-01,2025-08-05,bull_put,21,604.0,573.0,5.183,3.374,54215.69,3757.0,6.93
2025-08-18,2025-08-20,bull_put,21,625.0,593.0,5.3687,6.4721,55925.83,-2359.33,-4.22
2025-08-20,2025-08-21,bull_put,20,620.0,588.0,5.3487,5.9527,53302.52,-1247.92,-2.34
2025-08-21,2025-09-02,bull_put,20,618.0,586.0,5.4649,2.2964,53070.29,6296.92,11.87
2025-09-02,2025-09-11,bull_put,21,622.0,590.0,5.3355,0.6909,55995.54,9711.66,17.34
2025-09-24,2025-09-25,bull_put,21,644.0,611.0,5.5138,6.25,57720.99,-1588.05,-2.75
2025-09-25,2025-10-06,bull_put,22,641.0,609.0,5.4397,1.0649,58432.57,9580.75,16.4
2025-10-10,2025-10-13,bull_put,22,636.0,604.0,5.3839,3.1198,58555.51,4937.0,8.43
2025-10-13,2025-10-14,bull_put,22,646.0,613.0,5.5547,5.6702,60379.57,-298.12,-0.49
2025-10-14,2025-10-16,bull_put,22,645.0,612.0,5.4939,5.5274,60513.5,-117.73,-0.19
2025-10-16,2025-10-24,bull_put,22,644.0,611.0,5.631,1.0815,60211.82,9964.95,16.55
